Biological Replicate,Stage,DTR_,Time,Cup ID,DPI,n_infected,n_dissected,bt,temp,DTR
1,Sporozoite,DTR0,ZT18,3,14,5,10,18,27,0
1,Sporozoite,DTR0,ZT18,4,14,7,10,18,27,0
1,Sporozoite,DTR0,ZT18,3,15,6,10,18,27,0
1,Sporozoite,DTR0,ZT18,4,15,7,10,18,27,0
1,Sporozoite,DTR0,ZT18,3,16,8,10,18,27,0
1,Sporozoite,DTR0,ZT18,4,16,5,10,18,27,0
1,Sporozoite,DTR0,ZT12,1,14,9,10,12,27,0
1,Sporozoite,DTR0,ZT12,2,14,8,10,12,27,0
1,Sporozoite,DTR0,ZT12,1,15,7,10,12,27,0
1,Sporozoite,DTR0,ZT12,2,15,5,10,12,27,0
1,Sporozoite,DTR0,ZT12,1,16,4,10,12,27,0
1,Sporozoite,DTR0,ZT12,2,16,6,10,12,27,0
1,Sporozoite,DTR0,ZT0,5,14,4,10,0,27,0
1,Sporozoite,DTR0,ZT0,6,14,7,10,0,27,0
1,Sporozoite,DTR0,ZT0,5,15,5,10,0,27,0
1,Sporozoite,DTR0,ZT0,6,15,6,10,0,27,0
1,Sporozoite,DTR0,ZT0,5,16,6,10,0,27,0
1,Sporozoite,DTR0,ZT0,6,16,8,10,0,27,0
1,Sporozoite,DTR10,ZT18,9,14,3,10,18,27,10
1,Sporozoite,DTR10,ZT18,10,14,3,10,18,27,10
1,Sporozoite,DTR10,ZT18,9,15,3,10,18,27,10
1,Sporozoite,DTR10,ZT18,10,15,2,10,18,27,10
1,Sporozoite,DTR10,ZT18,9,16,3,10,18,27,10
1,Sporozoite,DTR10,ZT18,10,16,3,10,18,27,10
1,Sporozoite,DTR10,ZT12,7,14,8,10,12,27,10
1,Sporozoite,DTR10,ZT12,8,14,5,10,12,27,10
1,Sporozoite,DTR10,ZT12,7,15,7,10,12,27,10
1,Sporozoite,DTR10,ZT12,8,15,6,10,12,27,10
1,Sporozoite,DTR10,ZT12,7,16,6,10,12,27,10
1,Sporozoite,DTR10,ZT12,8,16,7,10,12,27,10
1,Sporozoite,DTR10,ZT0,11,14,0,10,0,27,10
1,Sporozoite,DTR10,ZT0,12,14,0,10,0,27,10
1,Sporozoite,DTR10,ZT0,11,15,1,10,0,27,10
1,Sporozoite,DTR10,ZT0,12,15,0,10,0,27,10
1,Sporozoite,DTR10,ZT0,11,16,0,10,0,27,10
1,Sporozoite,DTR10,ZT0,12,16,0,10,0,27,10
2,Sporozoite,DTR0,ZT18,3,14,7,10,18,27,0
2,Sporozoite,DTR0,ZT18,4,14,6,10,18,27,0
2,Sporozoite,DTR0,ZT18,3,15,6,10,18,27,0
2,Sporozoite,DTR0,ZT18,4,15,6,10,18,27,0
2,Sporozoite,DTR0,ZT18,3,16,6,10,18,27,0
2,Sporozoite,DTR0,ZT18,4,16,6,10,18,27,0
2,Sporozoite,DTR0,ZT12,1,14,8,10,12,27,0
2,Sporozoite,DTR0,ZT12,2,14,7,10,12,27,0
2,Sporozoite,DTR0,ZT12,1,15,5,10,12,27,0
2,Sporozoite,DTR0,ZT12,2,15,7,10,12,27,0
2,Sporozoite,DTR0,ZT12,1,16,6,10,12,27,0
2,Sporozoite,DTR0,ZT12,2,16,5,10,12,27,0
2,Sporozoite,DTR0,ZT0,5,14,7,10,0,27,0
2,Sporozoite,DTR0,ZT0,6,14,9,10,0,27,0
2,Sporozoite,DTR0,ZT0,5,15,7,10,0,27,0
2,Sporozoite,DTR0,ZT0,6,15,8,10,0,27,0
2,Sporozoite,DTR0,ZT0,5,16,4,10,0,27,0
2,Sporozoite,DTR0,ZT0,6,16,6,10,0,27,0
2,Sporozoite,DTR10,ZT18,9,14,2,10,18,27,10
2,Sporozoite,DTR10,ZT18,10,14,2,10,18,27,10
2,Sporozoite,DTR10,ZT18,9,15,2,10,18,27,10
2,Sporozoite,DTR10,ZT18,10,15,1,10,18,27,10
2,Sporozoite,DTR10,ZT18,9,16,1,10,18,27,10
2,Sporozoite,DTR10,ZT18,10,16,2,10,18,27,10
2,Sporozoite,DTR10,ZT12,7,14,5,10,12,27,10
2,Sporozoite,DTR10,ZT12,8,14,5,10,12,27,10
2,Sporozoite,DTR10,ZT12,7,15,5,10,12,27,10
2,Sporozoite,DTR10,ZT12,8,15,4,10,12,27,10
2,Sporozoite,DTR10,ZT12,7,16,3,10,12,27,10
2,Sporozoite,DTR10,ZT12,8,16,5,10,12,27,10
2,Sporozoite,DTR10,ZT0,11,14,0,10,0,27,10
2,Sporozoite,DTR10,ZT0,12,14,0,10,0,27,10
2,Sporozoite,DTR10,ZT0,11,15,0,10,0,27,10
2,Sporozoite,DTR10,ZT0,12,15,0,10,0,27,10
2,Sporozoite,DTR10,ZT0,11,16,0,10,0,27,10
2,Sporozoite,DTR10,ZT0,12,16,0,10,0,27,10
