temp,DPI,n_o,n_s,o_prev,o_intensity,s_prev,max_o_prev_27,m_temp,DTR
17±0°C,34,20,0,0.00,0.00,NA,35.00,17,0
17±0°C,40,20,20,0.00,0.00,0.00,35.00,17,0
17±0°C,43,20,20,0.00,0.00,0.00,35.00,17,0
17±0°C,47,17,17,0.00,0.00,0.00,35.00,17,0
17±0°C,51,NA,16,NA,NA,0.00,35.00,17,0
19±0°C,23,22,22,22.73,1.57,0.00,35.00,19,0
19±0°C,27,NA,20,NA,NA,0.00,35.00,19,0
19±0°C,30,NA,20,NA,NA,5.00,35.00,19,0
19±0°C,33,NA,20,NA,NA,0.00,35.00,19,0
19±0°C,37,NA,22,NA,NA,5.00,35.00,19,0
19±0°C,41,NA,22,NA,NA,5.00,35.00,19,0
19±5°C,19,20,20,0.00,0.00,0.00,35.00,19,5
19±5°C,21,20,20,5.00,1.00,0.00,35.00,19,5
19±5°C,23,10,20,0.00,0.00,0.00,35.00,19,5
19±5°C,25,NA,20,NA,NA,0.00,35.00,19,5
19±5°C,27,NA,20,NA,NA,0.00,35.00,19,5
19±5°C,30,NA,20,NA,NA,0.00,35.00,19,5
19±5°C,34,NA,20,NA,NA,0.00,35.00,19,5
19±5°C,40,NA,19,NA,NA,5.26,35.00,19,5
17±0°C,34,30,30,13.33,1.25,0.00,86.67,17,0
17±0°C,39,NA,30,NA,NA,0.00,86.67,17,0
17±0°C,41,NA,30,NA,NA,0.00,86.67,17,0
17±0°C,43,NA,30,NA,NA,3.33,86.67,17,0
17±0°C,45,NA,30,NA,NA,0.00,86.67,17,0
17±0°C,47,NA,30,NA,NA,3.33,86.67,17,0
17±0°C,49,NA,15,NA,NA,0.00,86.67,17,0
19±0°C,22,30,30,40.00,3.50,0.00,86.67,19,0
19±0°C,28,NA,30,NA,NA,0.00,86.67,19,0
19±0°C,29,NA,30,NA,NA,3.33,86.67,19,0
19±0°C,30,NA,30,NA,NA,6.67,86.67,19,0
19±0°C,31,NA,30,NA,NA,16.67,86.67,19,0
19±0°C,32,NA,30,NA,NA,23.33,86.67,19,0
19±0°C,33,NA,30,NA,NA,16.67,86.67,19,0
19±0°C,34,NA,30,NA,NA,23.33,86.67,19,0
19±0°C,36,NA,30,NA,NA,23.33,86.67,19,0
19±5°C,18,30,30,50.00,3.93,0.00,86.67,19,5
19±5°C,22,NA,30,NA,NA,0.00,86.67,19,5
19±5°C,23,NA,30,NA,NA,0.00,86.67,19,5
19±5°C,24,10,30,40.00,9.00,0.00,86.67,19,5
19±5°C,25,NA,30,NA,NA,16.67,86.67,19,5
19±5°C,26,NA,30,NA,NA,10.00,86.67,19,5
19±5°C,27,NA,30,NA,NA,20.00,86.67,19,5
19±5°C,28,NA,30,NA,NA,33.33,86.67,19,5
19±5°C,29,NA,30,NA,NA,23.33,86.67,19,5
19±5°C,30,NA,30,NA,NA,23.33,86.67,19,5
19±5°C,32,NA,30,NA,NA,26.67,86.67,19,5
