"","Row.id","Date","District","Village","LLIN_distributed","Season","nDate","Month","nMonth","Compound","Household","Method","Location","Hour","nHour","Humidity","Temperature","An.g.male","An.g.unfed","An.g.halffed","An.g.fed","An.g.grsgr","tot.gamb","An.f.male","An.f.unfed","An.f.halffed","An.f.fed","An.f.grsgr","An.funestus","oth.An.male","oth.An.female","Culex.male","Culex.female","Mansonia.male","Mansonia.female","Aedes.male","Aedes.female","x","TinyTag"
"1",121,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","07pm-08pm",1,77.11,28.36,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"2",122,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","08pm-09pm",2,77.11,28.36,0,7,0,1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA
"3",123,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","09pm-10pm",3,77.11,28.36,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
"4",124,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","10pm-11pm",4,77.11,28.36,0,22,0,10,2,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
"5",125,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","11pm-12am",5,77.11,28.36,0,11,0,0,4,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA
"6",126,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","12am-01am",6,77.11,28.36,0,58,2,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"7",127,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","01am-02am",7,77.11,28.36,0,46,1,0,2,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
"8",128,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","02am-03am",8,77.11,28.36,0,82,0,1,1,84,0,0,0,0,0,0,0,3,0,0,0,0,0,0,NA,NA
"9",129,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","03am-04am",9,77.11,28.36,0,40,2,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
"10",130,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","04am-05am",10,77.11,28.36,0,47,6,5,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"11",131,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","IN","05am-06am",11,77.11,28.36,0,14,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"12",132,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","07pm-08pm",1,88.22,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"13",133,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","08pm-09pm",2,88.22,25.62,0,11,0,0,4,15,0,0,0,0,0,0,0,2,0,0,0,1,0,0,NA,NA
"14",134,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","09pm-10pm",3,88.22,25.62,0,34,2,0,4,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
"15",135,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","10pm-11pm",4,88.22,25.62,0,31,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"16",136,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","11pm-12am",5,88.22,25.62,0,80,3,0,3,86,0,0,0,0,0,0,0,2,0,0,0,1,0,1,NA,NA
"17",137,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","12am-01am",6,88.22,25.62,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"18",138,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","01am-02am",7,88.22,25.62,0,80,3,0,4,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
"19",139,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","02am-03am",8,88.22,25.62,0,56,2,0,3,61,0,0,0,0,0,0,0,6,0,0,0,4,0,0,NA,NA
"20",140,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","03am-04am",9,88.22,25.62,0,29,2,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"21",141,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","04am-05am",10,88.22,25.62,0,35,2,0,3,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
"22",142,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,82,2,"HLC","OUT","05am-06am",11,88.22,25.62,0,6,0,1,5,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
"23",143,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,94,4,"HLC","IN","07pm-08pm",1,77.21,28.59,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"24",144,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,94,4,"HLC","IN","08pm-09pm",2,77.21,28.59,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"25",145,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,94,4,"HLC","IN","09pm-10pm",3,77.21,28.59,0,8,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"26",146,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,94,4,"HLC","IN","10pm-11pm",4,77.21,28.59,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"27",147,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,94,4,"HLC","IN","11pm-12am",5,77.21,28.59,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"28",148,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,94,4,"HLC","IN","12am-01am",6,77.21,28.59,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"29",149,2016-10-02,"Banfora","Tiefora","P 2.0","wet-season",1,"Oct-16",10,94,4,"HLC","IN","01am-02am",7,77.21,28.59,0,53,0,0,1,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
